Date,Open,High,Low,Close,Volume
23-03-2017,1241,1242.530029,1223.599976,1230.180054,2620638
24-03-2017,1234.900024,1234.900024,1211.650024,1213.599976,5099814
27-03-2017,1213.469971,1220,1203,1206.030029,2181270
28-03-2017,1205,1221.699951,1205,1214.969971,1153158
29-03-2017,1218,1225.400024,1212.800049,1222.300049,1717764
30-03-2017,1222.449951,1232.5,1217.5,1220.5,2986086
31-03-2017,1219.199951,1220.430054,1207.5,1215.900024,1867044
03-04-2017,1217.5,1217.5,1204.099976,1205.849976,1196888
05-04-2017,1209.949951,1209.949951,1197.5,1200.619995,2905568
06-04-2017,1200,1205,1196.280029,1200.030029,1720704
07-04-2017,1197.449951,1216.619995,1196.069946,1214.530029,2277012
10-04-2017,1216,1224.5,1202.5,1211.119995,2543264
11-04-2017,1208.650024,1221.550049,1203,1209.650024,1557784
12-04-2017,1211.25,1214,1191.5,1196.619995,1050538
13-04-2017,1200,1204.5,1160.530029,1164.319946,2500472
17-04-2017,1165.199951,1166.449951,1147.569946,1157.430054,2270882
18-04-2017,1165,1167.099976,1151.030029,1154.400024,1730620
19-04-2017,1131.75,1174.349976,1126.400024,1149.569946,5626812
20-04-2017,1152.650024,1166,1145.469971,1162.75,1268842
21-04-2017,1164.550049,1167.819946,1150.5,1155.400024,1161154
24-04-2017,1150,1169.819946,1141.25,1164.050049,2000020
25-04-2017,1164,1172.219971,1151.349976,1155.75,3148710
26-04-2017,1170,1171.969971,1151.530029,1155.180054,2187438
27-04-2017,1153.030029,1163.900024,1138.819946,1151.319946,5773186
28-04-2017,1147,1149.380005,1134,1136.569946,2540510
02-05-2017,1147,1151,1140,1144.949951,2382696
03-05-2017,1147.5,1172.5,1134.25,1168.650024,3514406
04-05-2017,1174.969971,1175,1154.400024,1165.050049,2708208
05-05-2017,1154,1166.25,1151.25,1160.25,1682474
08-05-2017,1160.5,1173.699951,1158.849976,1171.219971,1071782
09-05-2017,1171.969971,1180.5,1166.280029,1176.280029,1790270
10-05-2017,1177.5,1178.069946,1158,1166.219971,1206388
11-05-2017,1173.650024,1180,1161.380005,1174.719971,2071302
12-05-2017,1171.650024,1184.949951,1160.030029,1180.319946,2314446
15-05-2017,1187.550049,1188.969971,1170.800049,1182.550049,1817604
16-05-2017,1190,1217.5,1186.719971,1214.569946,3601026
